500, 2922, 0, 32768
1001, 3844, 0, 32768
1513, 2659, 0, 32768
2014, 3526, 0, 32768
2516, 3317, 0, 32768
3073, 3388, 0, 32768
3573, 3142, 0, 32768
4074, 2762, 0, 32768
4576, 3950, 0, 32768
5077, 4039, 0, 32768
5580, 3589, 0, 32768
6081, 3968, 0, 32768
6582, 4072, 0, 32768
7083, 3261, 0, 32768
7584, 3996, 0, 32768
8084, 4068, 0, 32768
8585, 4057, 0, 32768
9086, 4050, 0, 32768
9586, 4072, 0, 32768
10087, 4102, 0, 32768
10587, 3932, 0, 32768
11087, 4090, 0, 32768
11587, 4000, 0, 32768
12088, 4145, 0, 32768
12589, 3046, 0, 32768
13090, 4115, 0, 32768
13590, 4104, 0, 32768
14092, 4089, 0, 32768
14593, 4216, 0, 32768
15093, 4104, 0, 32768
15593, 4134, 0, 32768
16094, 4150, 0, 32768
16594, 4148, 0, 32768
17095, 4252, 0, 32768
