509, 1106, 1, 65536
1017, 1281, 1, 65536
1524, 1328, 1, 65536
2027, 1191, 1, 65536
2527, 1128, 1, 65536
3031, 1200, 1, 65536
3540, 1106, 1, 65536
4048, 1086, 1, 65536
4549, 1156, 1, 65536
5049, 1258, 1, 65536
5551, 1205, 1, 65536
6058, 1069, 1, 65536
6561, 1194, 1, 65536
7061, 1152, 1, 65536
7563, 1147, 1, 65536
8064, 1169, 1, 65536
8567, 1079, 1, 65536
9076, 1179, 1, 65536
9580, 1234, 1, 65536
10080, 1200, 1, 65536
10587, 1173, 1, 65536
11092, 1188, 1, 65536
11600, 1236, 1, 65536
12114, 1184, 1, 65536
12622, 1232, 1, 65536
13132, 1268, 1, 65536
13639, 1280, 1, 65536
14148, 1241, 1, 65536
14648, 1246, 1, 65536
15151, 1278, 1, 65536
15651, 1274, 1, 65536
16155, 1172, 1, 65536
16657, 1399, 1, 65536
17161, 1729, 1, 65536
17670, 1200, 1, 65536
18177, 1223, 1, 65536
18681, 1228, 1, 65536
19185, 1208, 1, 65536
19693, 1279, 1, 65536
20198, 1238, 1, 65536
20706, 1232, 1, 65536
21212, 1199, 1, 65536
21721, 1165, 1, 65536
22225, 1077, 1, 65536
22728, 1274, 1, 65536
23235, 1272, 1, 65536
23745, 1098, 1, 65536
24254, 1104, 1, 65536
24760, 1201, 1, 65536
25264, 1232, 1, 65536
25767, 1181, 1, 65536
26273, 1264, 1, 65536
26779, 1249, 1, 65536
